iter	RMSE
0	7880.705098
1	7727.402987
2	7566.71685
3	7455.474337
4	7331.741546
5	7213.150514
6	7097.944471
7	6992.847329
8	6870.072098
9	6746.384984
10	6633.233807
11	6520.672188
12	6387.84012
13	6283.929006
14	6188.76335
15	6093.123193
16	5983.14167
17	5857.152881
18	5757.721353
19	5652.99158
20	5549.948787
21	5438.728058
22	5351.961525
23	5273.538824
24	5198.516518
25	5134.022893
26	5050.215238
27	4967.845638
28	4878.326822
29	4805.264122
30	4729.992605
31	4660.592572
32	4581.515681
33	4504.341217
34	4434.710429
35	4374.361156
36	4310.186868
37	4237.825675
38	4183.727404
39	4123.112959
40	4062.057585
41	4000.679702
42	3947.866524
43	3883.602999
44	3832.350764
45	3780.363863
46	3727.223117
47	3667.412083
48	3615.989473
49	3565.579456
50	3522.265881
51	3477.883294
52	3428.998112
53	3379.344566
54	3338.510345
55	3292.302412
56	3248.48569
57	3210.091735
58	3174.137378
59	3127.44002
60	3087.755669
61	3051.029066
62	3012.184319
63	2973.27314
64	2935.275013
65	2899.215185
66	2859.032628
67	2824.524714
68	2786.797968
69	2756.293284
70	2722.201699
71	2690.208625
72	2652.455911
73	2621.762871
74	2590.474097
75	2562.78199
76	2537.657334
77	2511.363095
78	2480.060126
79	2456.389749
80	2435.840953
81	2410.994988
82	2385.926755
83	2364.274799
84	2340.687274
85	2318.341126
86	2297.588417
87	2276.257044
88	2252.803865
89	2233.515245
90	2211.839989
91	2193.061601
92	2176.378831
93	2156.408365
94	2138.739006
95	2122.087117
96	2100.963602
97	2087.952703
98	2072.218555
99	2054.336031
100	2038.802346
101	2021.177905
102	2003.789334
103	1984.466344
104	1966.021366
105	1951.494312
106	1937.026937
107	1924.785852
108	1913.86143
109	1899.348966
110	1887.161655
111	1874.046384
112	1862.141479
113	1852.613229
114	1840.31599
115	1830.621228
116	1818.499324
117	1806.971223
118	1792.811623
119	1781.704854
120	1771.040471
121	1761.802574
122	1749.131427
123	1740.320722
124	1729.394874
125	1719.659616
126	1710.39109
127	1699.160503
128	1691.596886
129	1678.875248
130	1671.818798
131	1664.547133
132	1654.378951
133	1645.159275
134	1637.610558
135	1629.126087
136	1622.174157
137	1611.292559
138	1603.571195
139	1595.019907
140	1587.182531
141	1580.682254
142	1572.986958
143	1564.115469
144	1557.352926
145	1550.785524
146	1542.636735
147	1534.126597
148	1528.354927
149	1521.252118
150	1514.73458
151	1507.681409
152	1502.408167
153	1495.682453
154	1489.740209
155	1482.586001
156	1473.514726
157	1465.283345
158	1459.161016
159	1451.73282
160	1446.462809
161	1440.374938
162	1433.448964
163	1428.207938
164	1423.115298
165	1416.370777
166	1410.285358
167	1404.691668
168	1399.994017
169	1392.57312
170	1387.238248
171	1382.418353
172	1376.749014
173	1372.164628
174	1365.81689
175	1358.982562
176	1354.957662
177	1351.285356
178	1346.455034
179	1341.298307
180	1336.873417
181	1331.690725
182	1327.205458
183	1323.671377
184	1318.666051
185	1313.157558
186	1307.321122
187	1302.93507
188	1298.605157
189	1294.286345
190	1289.127693
191	1285.032925
192	1281.458263
193	1276.666561
194	1272.280278
195	1269.058522
196	1265.932581
197	1262.018149
198	1257.62816
199	1252.962459
200	1248.477478
201	1242.436332
202	1239.180879
203	1236.379209
204	1232.896392
205	1229.630088
206	1226.892063
207	1223.444944
208	1218.093374
209	1211.89404
210	1207.499854
211	1204.61632
212	1199.964319
213	1197.633983
214	1195.119229
215	1192.628285
216	1188.033878
217	1184.111635
218	1180.521912
219	1175.999247
220	1172.903867
221	1169.102492
222	1165.223	109223	1162.224	108224	1158.225	108225	1154.226	107226	1151.227	1076.504958
228	1073.406145
229	1070.696479
230	1067.750006
231	1065.503679
232	1062.515876
233	1059.838922
234	1055.60232
235	10235	1122.4236	10236	1119.852002
237	1116.859465
238	1114.148892
239	1111.82276
240	1109.919796
241	1107.893673
242	1103.625142
243	1099.764195
244	1097.66888
245	1094.369628
246	1090.58072
247	1087.380066
248	1083.681281
249	1081.509056
250	1079.575247
251	1074.662119
252	1070.555311
253	1066.617009
254	1062.31037
255	1057.675657
256	1055.173058
257	1052.285801
258	1050.31351
259	1048.472437
260	1043.617238
261	1042.026451
262	1040.071991
263	1037.187144
264	1034.429003
265	1029.545226
266	1025.485645
267	1021.216862
268	1019.43697
269	1015.814365
270	1012.824146
271	1010.574152
272	1006.616788
273	1004.23235
274	1000.926257
275	997.6197629
276	993.3329637
277	990.5640576
278	987.1216479
279	982.314715
280	979.0313836
281	975.792979
282	971.4427375
283	970.1322045
284	968.5869485
285	966.8663125
286	965.3750776
287	962.5331496
288	957.65526
289	953.7541534
290	952.2045388
291	948.504969
292	946.3507507
293	943.9034943
294	942.9872423
295	941.3242305
296	939.7775905
297	938.2948617
298	935.0961031
299	932.3567253
300	928.7887695
301	927.3429006
302	925.6240553
303	923.3157514
304	919.6818642
305	916.0174419
