iter	Passed	Remaining
0	1	1767
1	2	1438
2	3	1171
3	4	1046
4	4	970
5	5	914
6	6	877
7	7	869
8	8	990
9	10	1046
10	11	1013
11	12	1012
12	13	992
13	14	1007
14	14	983
15	16	995
16	16	973
17	17	956
18	18	939
19	18	923
20	19	909
21	20	896
22	21	895
23	21	892
24	22	896
25	23	889
26	24	894
27	25	885
28	26	902
29	28	915
30	29	907
31	29	904
32	31	910
33	32	910
34	33	921
35	34	931
36	35	932
37	36	924
38	37	920
39	38	928
40	39	928
41	40	921
42	41	929
43	42	929
44	43	926
45	44	918
46	44	910
47	45	902
48	46	899
49	47	897
50	49	913
51	49	907
52	50	901
53	50	892
54	51	886
55	51	875
56	52	868
57	53	864
58	53	861
59	54	858
60	55	854
61	56	850
62	56	845
63	57	840
64	58	839
65	59	845
66	60	841
67	61	838
68	61	834
69	62	832
70	63	826
71	63	821
72	64	817
73	65	818
74	66	814
75	67	815
76	67	811
77	68	809
78	69	809
79	70	805
80	70	801
81	71	795
82	71	793
83	72	794
84	73	791
85	74	786
86	74	784
87	75	781
88	75	777
89	76	775
90	77	772
91	77	766
92	78	762
93	78	759
94	79	757
95	80	755
96	81	758
97	81	754
98	82	751
99	83	749
100	84	752
101	84	747
102	85	746
103	86	744
104	87	742
105	87	738
106	88	736
107	89	736
108	89	735
109	91	739
110	92	738
111	92	736
112	93	733
113	94	732
114	94	728
115	95	726
116	96	725
117	96	722
118	97	721
119	98	721
120	99	720
121	99	718
122	100	714
123	100	711
124	101	710
125	102	712
126	103	709
127	103	706
128	104	706
129	105	708
130	106	705
131	106	702
132	107	701
133	108	699
134	109	698
135	109	696
136	110	695
137	111	694
138	112	693
139	112	692
140	113	690
141	114	688
142	114	687
143	115	685
144	115	682
145	116	680
146	116	678
147	117	677
148	118	673
149	118	672
150	119	670
151	119	669
152	120	667
153	121	669
154	122	667
155	124	672
156	125	671
157	125	669
158	126	668
159	127	667
160	127	665
161	128	663
162	129	664
163	130	663
164	130	661
165	131	660
166	131	658
167	132	655
168	133	657
169	134	655
170	134	653
171	135	651
172	135	649
173	136	648
174	137	647
175	138	646
176	138	645
177	139	643
178	139	641
179	140	640
180	141	638
181	141	637
182	142	634
183	142	632
184	143	632
185	144	630
186	144	629
187	145	629
188	146	627
189	146	626
190	147	624
191	147	622
192	148	620
193	148	618
194	149	617
195	150	616
196	150	615
197	151	613
198	152	612
199	152	610
200	153	608
201	153	607
202	154	605
203	155	604
204	155	603
205	156	602
206	157	602
207	158	601
208	158	599
209	159	598
210	160	599
211	161	598
212	161	597
213	162	597
214	163	596
215	163	594
216	164	593
217	165	592
218	165	590
219	166	588
220	166	587
221	167	585
222	167	584
223	168	583
224	168	581
225	169	580
226	169	578
227	170	577
228	171	576
229	171	575
230	172	574
231	172	572
232	174	573
233	174	571
234	176	573
235	176	572
236	178	573
237	178	572
238	180	573
239	180	572
240	181	571
241	182	570
242	182	568
243	183	567
244	183	566
245	184	566
246	185	565
247	186	566
248	187	565
249	187	563
250	189	564
251	190	565
252	191	564
253	191	563
254	192	562
255	193	561
256	193	560
257	194	559
258	195	557
259	195	557
260	196	555
261	197	554
262	197	554
263	198	552
264	198	551
265	199	550
266	200	551
267	201	549
268	201	548
269	202	547
270	202	546
271	203	544
272	204	543
273	204	543
274	205	541
275	205	540
276	206	539
277	207	538
278	208	537
279	208	536
280	209	535
281	210	535
282	210	534
283	211	533
284	212	532
285	213	532
286	214	532
287	215	531
288	216	531
289	216	530
290	217	529
291	218	529
292	218	528
293	219	527
294	220	526
295	220	525
296	221	524
297	222	523
298	222	522
299	223	521
300	223	519
301	224	518
302	225	517
303	225	516
304	226	515
305	226	513
306	227	513
307	227	511
308	228	511
309	229	509
310	230	510
311	231	511
312	232	509
313	232	509
314	233	507
315	234	506
316	234	506
317	235	504
318	235	503
319	236	502
320	237	501
321	237	500
322	238	499
323	239	498
324	239	497
325	240	496
326	241	496
327	241	495
328	242	494
329	242	493
330	243	492
331	243	490
332	244	490
333	245	489
334	245	488
335	246	487
336	247	486
337	248	486
338	249	486
339	250	485
340	251	485
341	251	483
342	252	482
343	252	481
344	253	481
345	254	480
346	255	480
347	256	480
348	256	479
349	257	478
350	258	477
351	258	476
352	260	477
353	260	475
354	261	475
355	263	475
356	263	474
357	264	473
358	265	473
359	265	472
360	266	471
361	266	470
362	267	469
363	268	468
